Runs,SampleDescription,Initial_desc,Run,LIBRARY_CONSTRUCTION_PROTOCOL,STUDY_ABSTRACT,DESIGN_DESCRIPTION,READ_RUN_INFO,Pubmed ID,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,Platform,Model,SRAStudy,BioProject,ProjectID,Sample,BioSample,TaxID,ScientificName,SampleName,CenterName,Submission,RunHash,ReadHash,name_TaxID,Pubmed_ID_pull,PMC,PMC_address
DRR075875,Illumina MiSeq paired end sequencing of SAMD00065947,Illumina MiSeq paired end sequencing of SAMD00065947,DRR075875,,"Aspergillus AtrR-family proteins are identified as a transcription factor involved in azole resistance. The A. fumigatus AtrR regulates expression of cyp51A and cdr1B, encoding a target enzyme in ergosterol biosynthesis pathway and ABC transporter related to azole resistance, respectively. To gain an insight into global regulation of the AtrR, RNA-seq analysis was conducted, in which 1) WT (Af293) and the atrR deletion mutant in response to azole treatment, and 2) WT (Af293), atrR, and srbA deletion mutants, were investigated.",,"SPOT_LENGTH: 50, Read_Index: 0  1 , Read_TYPE:  Forward  Reverse , BASE_COORD:  1  26 ",,2016-12-13 15:35:10,2016-12-13 15:34:34,1237318,64340536,1237318,52,36,,https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR075875/DRR075875,DRX069772,PDB+FLCZ_atrR,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina MiSeq,DRP003369,PRJDB5273,357403,DRS037180,SAMD00065947,746128,Aspergillus fumigatus,DRS037180,CHIBA_U,DRA005241,36418FAD866DBE921B2C6E65C36436B6,8241E54D86CE89B56CC48C40367FA669,746128 Aspergillus fumigatus,https://pubmed.ncbi.nlm.nih.gov/nan,['PMC5215518'],https://www.ncbi.nlm.nih.gov/pmc/PMC5215518
DRR075874,Illumina MiSeq paired end sequencing of SAMD00065947,Illumina MiSeq paired end sequencing of SAMD00065947,DRR075874,,"Aspergillus AtrR-family proteins are identified as a transcription factor involved in azole resistance. The A. fumigatus AtrR regulates expression of cyp51A and cdr1B, encoding a target enzyme in ergosterol biosynthesis pathway and ABC transporter related to azole resistance, respectively. To gain an insight into global regulation of the AtrR, RNA-seq analysis was conducted, in which 1) WT (Af293) and the atrR deletion mutant in response to azole treatment, and 2) WT (Af293), atrR, and srbA deletion mutants, were investigated.",,"SPOT_LENGTH: 50, Read_Index: 0  1 , Read_TYPE:  Forward  Reverse , BASE_COORD:  1  26 ",,2016-12-13 15:35:10,2016-12-13 15:35:00,1090791,56721132,1090791,52,32,,https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR075874/DRR075874,DRX069771,PDB_atrR,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina MiSeq,DRP003369,PRJDB5273,357403,DRS037180,SAMD00065947,746128,Aspergillus fumigatus,DRS037180,CHIBA_U,DRA005241,62043AF17E3D4EF7CE74983F5AC00823,EE45B5C4DA1A7058743B62C5D7B79AC2,746128 Aspergillus fumigatus,https://pubmed.ncbi.nlm.nih.gov/nan,['PMC5215518'],https://www.ncbi.nlm.nih.gov/pmc/PMC5215518
DRR075873,Illumina MiSeq paired end sequencing of SAMD00065946,Illumina MiSeq paired end sequencing of SAMD00065946,DRR075873,,"Aspergillus AtrR-family proteins are identified as a transcription factor involved in azole resistance. The A. fumigatus AtrR regulates expression of cyp51A and cdr1B, encoding a target enzyme in ergosterol biosynthesis pathway and ABC transporter related to azole resistance, respectively. To gain an insight into global regulation of the AtrR, RNA-seq analysis was conducted, in which 1) WT (Af293) and the atrR deletion mutant in response to azole treatment, and 2) WT (Af293), atrR, and srbA deletion mutants, were investigated.",,"SPOT_LENGTH: 50, Read_Index: 0  1 , Read_TYPE:  Forward  Reverse , BASE_COORD:  1  26 ",,2016-12-13 15:35:10,2016-12-13 15:34:33,1133000,58916000,1133000,52,33,,https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR075873/DRR075873,DRX069770,PDB+MCZ_Af293,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina MiSeq,DRP003369,PRJDB5273,357403,DRS037179,SAMD00065946,746128,Aspergillus fumigatus,DRS037179,CHIBA_U,DRA005241,F2D27FB0110FA524822659DA5660D76A,827C5629B8A12D1BDC2827C46E236EFD,746128 Aspergillus fumigatus,https://pubmed.ncbi.nlm.nih.gov/nan,['PMC5215518'],https://www.ncbi.nlm.nih.gov/pmc/PMC5215518
DRR075872,Illumina MiSeq paired end sequencing of SAMD00065946,Illumina MiSeq paired end sequencing of SAMD00065946,DRR075872,,"Aspergillus AtrR-family proteins are identified as a transcription factor involved in azole resistance. The A. fumigatus AtrR regulates expression of cyp51A and cdr1B, encoding a target enzyme in ergosterol biosynthesis pathway and ABC transporter related to azole resistance, respectively. To gain an insight into global regulation of the AtrR, RNA-seq analysis was conducted, in which 1) WT (Af293) and the atrR deletion mutant in response to azole treatment, and 2) WT (Af293), atrR, and srbA deletion mutants, were investigated.",,"SPOT_LENGTH: 50, Read_Index: 0  1 , Read_TYPE:  Forward  Reverse , BASE_COORD:  1  26 ",,2016-12-13 15:35:10,2016-12-13 15:35:00,1079656,56142112,1079656,52,32,,https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR075872/DRR075872,DRX069769,PDB+FLCZ_Af293,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina MiSeq,DRP003369,PRJDB5273,357403,DRS037179,SAMD00065946,746128,Aspergillus fumigatus,DRS037179,CHIBA_U,DRA005241,EEF333FE50CB92874D127A1ED57C4D48,5222E1248DDF5AFFF529536086E5DC3D,746128 Aspergillus fumigatus,https://pubmed.ncbi.nlm.nih.gov/nan,['PMC5215518'],https://www.ncbi.nlm.nih.gov/pmc/PMC5215518
DRR075871,Illumina MiSeq paired end sequencing of SAMD00065946,Illumina MiSeq paired end sequencing of SAMD00065946,DRR075871,,"Aspergillus AtrR-family proteins are identified as a transcription factor involved in azole resistance. The A. fumigatus AtrR regulates expression of cyp51A and cdr1B, encoding a target enzyme in ergosterol biosynthesis pathway and ABC transporter related to azole resistance, respectively. To gain an insight into global regulation of the AtrR, RNA-seq analysis was conducted, in which 1) WT (Af293) and the atrR deletion mutant in response to azole treatment, and 2) WT (Af293), atrR, and srbA deletion mutants, were investigated.",,"SPOT_LENGTH: 50, Read_Index: 0  1 , Read_TYPE:  Forward  Reverse , BASE_COORD:  1  26 ",,2016-12-13 15:35:10,2016-12-13 15:35:02,1210985,62971220,1210985,52,36,,https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR075871/DRR075871,DRX069768,PDB_Af293,RNA-Seq,PolyA,TRANSCRIPTOMIC,PAIRED,ILLUMINA,Illumina MiSeq,DRP003369,PRJDB5273,357403,DRS037179,SAMD00065946,746128,Aspergillus fumigatus,DRS037179,CHIBA_U,DRA005241,B260EF000C8E5B50A15077D7FFFF8D54,131A220C84F971ED6E3F05955F6DFE44,746128 Aspergillus fumigatus,https://pubmed.ncbi.nlm.nih.gov/nan,['PMC5215518'],https://www.ncbi.nlm.nih.gov/pmc/PMC5215518
DRR075870,Illumina MiSeq sequencing of SAMD00065948,Illumina MiSeq sequencing of SAMD00065948,DRR075870,,"Aspergillus AtrR-family proteins are identified as a transcription factor involved in azole resistance. The A. fumigatus AtrR regulates expression of cyp51A and cdr1B, encoding a target enzyme in ergosterol biosynthesis pathway and ABC transporter related to azole resistance, respectively. To gain an insight into global regulation of the AtrR, RNA-seq analysis was conducted, in which 1) WT (Af293) and the atrR deletion mutant in response to azole treatment, and 2) WT (Af293), atrR, and srbA deletion mutants, were investigated.",,"SPOT_LENGTH: 50, Read_Index: 0 , Read_TYPE:  Forward , BASE_COORD:  1 ",,2016-12-13 15:35:10,2016-12-13 15:34:47,3458715,172470229,0,49,87,,https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR075870/DRR075870,DRX069767,YGMM_srbA,RNA-Seq,PolyA,TRANSCRIPTOMIC,SINGLE,ILLUMINA,Illumina MiSeq,DRP003369,PRJDB5273,357403,DRS037181,SAMD00065948,746128,Aspergillus fumigatus,DRS037181,CHIBA_U,DRA005241,E21209278904E55D8DA39AF9B8C3F6A6,D0214F2B67EDEF7A93E6D4FDA8ABDA9F,746128 Aspergillus fumigatus,https://pubmed.ncbi.nlm.nih.gov/nan,['PMC5215518'],https://www.ncbi.nlm.nih.gov/pmc/PMC5215518
DRR075869,Illumina MiSeq sequencing of SAMD00065947,Illumina MiSeq sequencing of SAMD00065947,DRR075869,,"Aspergillus AtrR-family proteins are identified as a transcription factor involved in azole resistance. The A. fumigatus AtrR regulates expression of cyp51A and cdr1B, encoding a target enzyme in ergosterol biosynthesis pathway and ABC transporter related to azole resistance, respectively. To gain an insight into global regulation of the AtrR, RNA-seq analysis was conducted, in which 1) WT (Af293) and the atrR deletion mutant in response to azole treatment, and 2) WT (Af293), atrR, and srbA deletion mutants, were investigated.",,"SPOT_LENGTH: 50, Read_Index: 0 , Read_TYPE:  Forward , BASE_COORD:  1 ",,2016-12-13 15:35:10,2016-12-13 15:35:03,3400185,169511168,0,49,85,,https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR075869/DRR075869,DRX069766,YGMM_atrR,RNA-Seq,PolyA,TRANSCRIPTOMIC,SINGLE,ILLUMINA,Illumina MiSeq,DRP003369,PRJDB5273,357403,DRS037180,SAMD00065947,746128,Aspergillus fumigatus,DRS037180,CHIBA_U,DRA005241,79D6A22AB7A359F01CB5DA01884FD676,CAD17CC45B1D0B05B585C3F778D02F29,746128 Aspergillus fumigatus,https://pubmed.ncbi.nlm.nih.gov/nan,['PMC5215518'],https://www.ncbi.nlm.nih.gov/pmc/PMC5215518
DRR075868,Illumina MiSeq sequencing of SAMD00065946,Illumina MiSeq sequencing of SAMD00065946,DRR075868,,"Aspergillus AtrR-family proteins are identified as a transcription factor involved in azole resistance. The A. fumigatus AtrR regulates expression of cyp51A and cdr1B, encoding a target enzyme in ergosterol biosynthesis pathway and ABC transporter related to azole resistance, respectively. To gain an insight into global regulation of the AtrR, RNA-seq analysis was conducted, in which 1) WT (Af293) and the atrR deletion mutant in response to azole treatment, and 2) WT (Af293), atrR, and srbA deletion mutants, were investigated.",,"SPOT_LENGTH: 50, Read_Index: 0 , Read_TYPE:  Forward , BASE_COORD:  1 ",,2016-12-13 15:35:10,2016-12-13 15:34:49,3612782,180153077,0,49,91,,https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR075868/DRR075868,DRX069765,YGMM_Af293,RNA-Seq,PolyA,TRANSCRIPTOMIC,SINGLE,ILLUMINA,Illumina MiSeq,DRP003369,PRJDB5273,357403,DRS037179,SAMD00065946,746128,Aspergillus fumigatus,DRS037179,CHIBA_U,DRA005241,733F93657818B7E7DE81ECC419BDB71D,50D94179159A49EDB09C332E828153C7,746128 Aspergillus fumigatus,https://pubmed.ncbi.nlm.nih.gov/nan,['PMC5215518'],https://www.ncbi.nlm.nih.gov/pmc/PMC5215518
DRR087049,Illumina MiSeq sequencing of SAMD00074312,Illumina MiSeq sequencing of SAMD00074312,DRR087049,,"Fungal resting conidia contain and preserve an array of gene transcripts, which are probably necessary for an efficient and prompt germination. The aim of this analysis is to get an insight into the effect of temperature during conidiation on the transcriptome of the resting conidia, which might reflect the conidial properties (i.e. stress resistance, osmolyte composition, and secondary metabolite accumulation).",,"SPOT_LENGTH: 50, Read_Index: 0 , Read_TYPE:  Forward , BASE_COORD:  1 ",,2017-02-09 21:39:11,2017-02-09 21:39:00,4608528,228421612,0,49,128,,https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR087049/DRR087049,DRX080878,,RNA-Seq,PolyA,TRANSCRIPTOMIC,SINGLE,ILLUMINA,Illumina MiSeq,DRP003453,PRJDB5526,374019,DRS040564,SAMD00074312,330879,Aspergillus fumigatus Af293,DRS040564,CHIBA_U,DRA005533,EBDAD085FB57D3F64622169831F5C44F,C5C548165F39F39D8A7E1DE35A71C194,330879 Aspergillus fumigatus Af293,https://pubmed.ncbi.nlm.nih.gov/nan,['PMC5423626'],https://www.ncbi.nlm.nih.gov/pmc/PMC5423626
DRR087048,Illumina MiSeq sequencing of SAMD00074311,Illumina MiSeq sequencing of SAMD00074311,DRR087048,,"Fungal resting conidia contain and preserve an array of gene transcripts, which are probably necessary for an efficient and prompt germination. The aim of this analysis is to get an insight into the effect of temperature during conidiation on the transcriptome of the resting conidia, which might reflect the conidial properties (i.e. stress resistance, osmolyte composition, and secondary metabolite accumulation).",,"SPOT_LENGTH: 50, Read_Index: 0 , Read_TYPE:  Forward , BASE_COORD:  1 ",,2017-02-09 21:39:11,2017-02-09 21:39:01,4143457,205364665,0,49,115,,https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR087048/DRR087048,DRX080877,,RNA-Seq,PolyA,TRANSCRIPTOMIC,SINGLE,ILLUMINA,Illumina MiSeq,DRP003453,PRJDB5526,374019,DRS040563,SAMD00074311,330879,Aspergillus fumigatus Af293,DRS040563,CHIBA_U,DRA005533,B1AC995BA6866D723184D9457DB0D903,E3651F2BFA75542D85EDED28270E5DCA,330879 Aspergillus fumigatus Af293,https://pubmed.ncbi.nlm.nih.gov/nan,['PMC5423626'],https://www.ncbi.nlm.nih.gov/pmc/PMC5423626
DRR087047,Illumina MiSeq sequencing of SAMD00074310,Illumina MiSeq sequencing of SAMD00074310,DRR087047,,"Fungal resting conidia contain and preserve an array of gene transcripts, which are probably necessary for an efficient and prompt germination. The aim of this analysis is to get an insight into the effect of temperature during conidiation on the transcriptome of the resting conidia, which might reflect the conidial properties (i.e. stress resistance, osmolyte composition, and secondary metabolite accumulation).",,"SPOT_LENGTH: 50, Read_Index: 0 , Read_TYPE:  Forward , BASE_COORD:  1 ",,2017-02-09 21:39:11,2017-02-09 21:38:49,4169848,206684329,0,49,115,,https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR087047/DRR087047,DRX080876,,RNA-Seq,PolyA,TRANSCRIPTOMIC,SINGLE,ILLUMINA,Illumina MiSeq,DRP003453,PRJDB5526,374019,DRS040562,SAMD00074310,330879,Aspergillus fumigatus Af293,DRS040562,CHIBA_U,DRA005533,C9536DB012020C566C5F9F2425D396CB,6C35C54B6B66E66E33D1A37BA3610E27,330879 Aspergillus fumigatus Af293,https://pubmed.ncbi.nlm.nih.gov/nan,['PMC5423626'],https://www.ncbi.nlm.nih.gov/pmc/PMC5423626
DRR101048,Illumina HiSeq 1500 sequencing of SAMD00093402,Illumina HiSeq 1500 sequencing of SAMD00093402,DRR101048,KAPA Stranded mRNA-Seq Kit,"We explored the global gene expression profiles of mycelia in Aspergillus fumigatus upon exposure to diverse environmental changes, heat, superoxide, and osmotic stresses.",,"SPOT_LENGTH: 60, Read_Index: 0 , Read_TYPE:  Forward , BASE_COORD:  1 ",,2017-09-02 16:25:17,2017-09-02 16:26:06,15922051,955323060,0,60,552,,https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR101048/DRR101048,DRX094473,OS 180 min,RNA-Seq,PolyA,TRANSCRIPTOMIC,SINGLE,ILLUMINA,Illumina HiSeq 1500,DRP003792,PRJDB6203,401270,DRS049526,SAMD00093402,330879,Aspergillus fumigatus Af293,DRS049526,CHIBA_U,DRA006132,1D340CF6D9D1F72EABEB5326CAEBCDA3,7629EC673F6D9847A9ACBD6362E8A73F,330879 Aspergillus fumigatus Af293,https://pubmed.ncbi.nlm.nih.gov/nan,[],
DRR101047,Illumina HiSeq 1500 sequencing of SAMD00093401,Illumina HiSeq 1500 sequencing of SAMD00093401,DRR101047,KAPA Stranded mRNA-Seq Kit,"We explored the global gene expression profiles of mycelia in Aspergillus fumigatus upon exposure to diverse environmental changes, heat, superoxide, and osmotic stresses.",,"SPOT_LENGTH: 60, Read_Index: 0 , Read_TYPE:  Forward , BASE_COORD:  1 ",,2017-09-02 16:25:17,2017-09-02 16:25:04,11606024,696361440,0,60,404,,https://sra-pub-run-odp.s3.amazonaws.com/sra/DRR101047/DRR101047,DRX094472,OS 120 min,RNA-Seq,PolyA,TRANSCRIPTOMIC,SINGLE,ILLUMINA,Illumina HiSeq 1500,DRP003792,PRJDB6203,401270,DRS049525,SAMD00093401,330879,Aspergillus fumigatus Af293,DRS049525,CHIBA_U,DRA006132,CE2E84DC390E8FD9E8B54B48A2F5DA7E,B4BD3272C3A237DB9D679A84005048DB,330879 Aspergillus fumigatus Af293,https://pubmed.ncbi.nlm.nih.gov/nan,[],
